PeakID (cmd=annotatePeaks.pl 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3308	chr2	201753698	201753747	+	38	NA	5' UTR (NM_130906, exon 1 of 7)	promoter-TSS (NM_001142355)	127	NM_032472	53938	Hs.121076	NM_032472	ENSG00000240344	PPIL3	CYPJ	peptidylprolyl isomerase (cyclophilin)-like 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2212	chr16	72956028	72956077	+	38	NA	intron (NM_001164766, intron 2 of 8)	intron (NM_001164766, intron 2 of 8)	126222	NM_006885	463	Hs.598297	NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1876	chr14	92588347	92588494	+	38	NA	5' UTR (NM_017437, exon 1 of 16)	promoter-TSS (NM_004545)	122	NM_017437	53981	Hs.657632	NM_017437		CPSF2	CPSF100	cleavage and polyadenylation specific factor 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_934	chr11	10828809	10828858	+	38	NA	5' UTR (NM_001172705, exon 2 of 22)	exon (NM_001172705, exon 2 of 22)	710	NM_001172705	1982	Hs.183684	NM_001418	ENSG00000110321	EIF4G2	AAG1|DAP5|NAT1|P97	eukaryotic translation initiation factor 4 gamma, 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_8	chr1	1244010	1244059	+	38	NA	5' UTR (NM_153339, exon 1 of 8)	promoter-TSS (NM_030649)	40	NM_153339	126789	Hs.400659	NM_153339	ENSG00000169972	PUSL1	-	pseudouridylate synthase-like 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1514	chr12	125292326	125292433	+	38	NA	exon (NM_005505, exon 7 of 13)	exon (NM_005505, exon 7 of 13)	56140	NM_001082959	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B, member 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5556	chr8	37888069	37888118	+	38	NA	5' UTR (NM_004095, exon 1 of 3)	promoter-TSS (NM_004095)	73	NM_004095	1978	Hs.411641	NM_004095	ENSG00000187840	EIF4EBP1	4E-BP1|4EBP1|BP-1|PHAS-I	eukaryotic translation initiation factor 4E binding protein 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5335	chr8	48739214	48739263	+	38	NA	exon (NM_001081640, exon 63 of 85)	exon (NM_001081640, exon 63 of 85)	-88512	NM_005195	1052	Hs.440829	NM_005195		CEBPD	C/EBP-delta|CELF|CRP3|NF-IL6-beta	CCAAT/enhancer binding protein (C/EBP), delta	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3659	chr20	35869867	35869916	+	38	NA	3' UTR (NM_002951, exon 17 of 17)	3' UTR (NM_002951, exon 17 of 17)	15408	NM_001184731	2691	Hs.37023	NM_021081	ENSG00000118702	GHRH	GHRF|GRF|INN	growth hormone releasing hormone	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2272	chr17	704117	704192	+	38	NA	3' UTR (NM_022463, exon 8 of 8)	3' UTR (NM_022463, exon 8 of 8)	-18583	NM_016080	51031	Hs.279061	NM_016080	ENSG00000167699	GLOD4	C17orf25|CGI-150|HC71	glyoxalase domain containing 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4514	chr5	140960281	140960330	+	38	NA	intron (NM_001314007, intron 8 of 28)	intron (NM_001314007, intron 8 of 28)	22427	NR_038333	100505658	Hs.655458	NR_038333	ENSG00000246422	LOC100505658	-	uncharacterized LOC100505658	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5458	chr8	116617046	116617095	+	38	NA	exon (NM_014112, exon 4 of 7)	exon (NM_014112, exon 4 of 7)	63169	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	trichorhinophalangeal syndrome I	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4162	chr3	160150897	160150946	+	38	NA	exon (NM_001288753, exon 23 of 24)	exon (NM_001288753, exon 23 of 24)	16705	NM_173084	286827	Hs.212957	NM_173084	ENSG00000213186	TRIM59	IFT80L|MRF1|RNF104|TRIM57|TSBF1	tripartite motif containing 59	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6035	chrX	21985219	21985268	+	38	NA	intron (NM_001258423, intron 1 of 8)	intron (NM_001258423, intron 1 of 8)	26552	NM_001258423	6611	Hs.724874	NM_004595	ENSG00000102172	SMS	MRSR|SPMSY|SRS|SpS	spermine synthase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2637	chr18	19284688	19284737	+	38	NA	5' UTR (NM_001308256, exon 1 of 7)	promoter-TSS (NM_001308256)	54	NM_138340	171586	Hs.397978	NM_138340	ENSG00000158201	ABHD3	LABH3	abhydrolase domain containing 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2977	chr19	38682884	38682933	+	38	NA	exon (NM_015073, exon 17 of 22)	exon (NM_015073, exon 17 of 22)	31982	NM_001289978	8193	Hs.631576	NM_004647	ENSG00000011332	DPF1	BAF45b|NEUD4|neuro-d4	D4, zinc and double PHD fingers family 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1243	chr12	12870888	12871006	+	38	NA	exon (NM_004064, exon 1 of 3)	exon (NM_004064, exon 1 of 3)	743	NM_004064	1027	Hs.238990	NM_004064	ENSG00000111276	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4600	chr5	74633061	74633120	+	38	NA	5' UTR (NM_001130996, exon 1 of 19)	promoter-TSS (NM_001130996)	97	NM_001130996	3156	Hs.628096	NM_000859	ENSG00000113161	HMGCR	LDLCQ3	3-hydroxy-3-methylglutaryl-CoA reductase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_871	chr11	9430150	9430199	+	38	NA	exon (NM_006391, exon 3 of 25)	exon (NM_006391, exon 3 of 25)	-20139	NR_002962	677808	Hs.689720	NR_002962	ENSG00000201998	SNORA23	ACA23	small nucleolar RNA, H/ACA box 23	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_995	chr11	46800020	46800090	+	38	NA	exon (NM_014756, exon 21 of 43)	exon (NM_014756, exon 21 of 43)	-16006	NR_003056	692108	Hs.693252	NR_003056	ENSG00000212135	SNORD67	HBII-166	small nucleolar RNA, C/D box 67	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1333	chr12	48099742	48099803	+	38	NA	5' UTR (NM_001146076, exon 1 of 16)	promoter-TSS (NM_001146076)	72	NM_001146075	79657	Hs.437855	NM_024604	ENSG00000005175	RPAP3	-	RNA polymerase II associated protein 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_552	chr1	224370942	224371030	+	38	NA	5' UTR (NM_003676, exon 1 of 3)	promoter-TSS (NM_003676)	76	NM_003676	8560	Hs.299878	NM_003676	ENSG00000143753	DEGS1	DEGS|DEGS-1|DES1|Des-1|FADS7|MIG15|MLD	delta(4)-desaturase, sphingolipid 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1894	chr15	43749221	43749270	+	38	NA	exon (NM_001141979, exon 12 of 28)	exon (NM_001141979, exon 12 of 28)	36109	NM_001141980	7158	Hs.440968	NM_005657	ENSG00000067369	TP53BP1	53BP1|TP53|p202|p53BP1	tumor protein p53 binding protein 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3317	chr2	204330767	204330816	+	38	NA	intron (NM_213589, intron 4 of 13)	intron (NM_213589, intron 4 of 13)	69267	NM_213589	65059	Hs.471162	NM_025252	ENSG00000173166	RAPH1	ALS2CR18|ALS2CR9|LPD|PREL-2|PREL2|RMO1|RalGDS/AF-6	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3222	chr2	48729279	48729328	+	38	NA	intron (NM_001193475, intron 16 of 19)	intron (NM_001193475, intron 16 of 19)	-27761	NM_001198593	286749	Hs.732016	NM_172311	ENSG00000068781	STON1-GTF2A1L	SALF	STON1-GTF2A1L readthrough	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5430	chr7	128394333	128394387	+	38	NA	exon (NM_001219, exon 3 of 7)	exon (NM_001219, exon 3 of 7)	15014	NM_001199672	813	Hs.7753	NM_001219		CALU	-	calumenin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_88	chr1	21091851	21091900	+	38	NA	exon (NM_016287, exon 8 of 13)	exon (NM_016287, exon 8 of 13)	21306	NM_016287	50809	Hs.142442	NM_016287	ENSG00000127483	HP1BP3	HP1-BP74|HP1BP74	heterochromatin protein 1, binding protein 3	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_941	chr11	14380647	14380702	+	38	NA	5' UTR (NM_012250, exon 1 of 6)	promoter-TSS (NM_001102669)	56	NM_012250	22800	Hs.502004	NM_012250	ENSG00000133818	RRAS2	TC21	related RAS viral (r-ras) oncogene homolog 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_845	chr10	116225486	116225535	+	38	NA	exon (NM_002313, exon 12 of 22)	exon (NM_002313, exon 12 of 22)	-60973	NM_032550	84632	Hs.501106	NM_032550	ENSG00000169129	AFAP1L2	CTB-1144G6.4|KIAA1914|XB130	actin filament associated protein 1-like 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5905	chrX	64732636	64732685	+	38	NA	exon (NM_001170650, exon 12 of 12)	exon (NM_001170650, exon 12 of 12)	22026	NM_001170650	81887	Hs.522675	NM_031206	ENSG00000001497	LAS1L	Las1-like|dJ475B7.2	LAS1-like, ribosome biogenesis factor	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_440	chr1	156711969	156712028	+	38	NA	3' UTR (NM_001126051, exon 6 of 6)	TTS (NM_001126051)	-1075	NM_145729	79590	Hs.418233	NM_024540	ENSG00000143314	MRPL24	L24mt|MRP-L18|MRP-L24	mitochondrial ribosomal protein L24	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3072	chr2	55199687	55199750	+	38	NA	3' UTR (NM_207520, exon 8 of 8)	TTS (NM_001039753)	37752	NM_007008	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NOGO-A|NOGOC|NSP|NSP-CL|Nbla00271|Nbla10545|Nogo-B|Nogo-C|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4861	chr6	112403956	112404005	+	38	NA	intron (NM_016262, intron 4 of 11)	intron (NM_016262, intron 4 of 11)	-4694	NM_001033564	619208	Hs.591340	NM_001033564	ENSG00000203778	FAM229B	C6orf225	family with sequence similarity 229, member B	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2823	chr19	2477548	2477610	+	38	NA	exon (NM_015675, exon 4 of 4)	exon (NM_015675, exon 4 of 4)	1456	NM_015675	4616	Hs.110571	NM_015675	ENSG00000099860	GADD45B	GADD45BETA|MYD118	growth arrest and DNA-damage-inducible, beta	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2712	chr18	9708327	9708377	+	38	NA	5' UTR (NM_006868, exon 1 of 7)	5' UTR (NM_006868, exon 1 of 7)	124	NM_006868	11031	Hs.99528	NM_006868	ENSG00000168461	RAB31	Rab22B	RAB31, member RAS oncogene family	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2320	chr16	85839408	85839468	+	38	NA	exon (NM_001861, exon 4 of 5)	exon (NM_001861, exon 4 of 5)	6265	NM_001861	1327	Hs.433419	NM_001861	ENSG00000131143	COX4I1	COX4|COX4-1|COXIV	cytochrome c oxidase subunit IV isoform 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5643	chr8	97505879	97505928	+	38	NA	5' UTR (NM_002998, exon 1 of 5)	promoter-TSS (NM_002998)	21	NM_002998	6383	Hs.1501	NM_002998	ENSG00000169439	SDC2	CD362|HSPG|HSPG1|SYND2	syndecan 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1115	chr11	85955800	85955849	+	38	NA	5' UTR (NM_001308007, exon 1 of 13)	5' UTR (NM_001308007, exon 1 of 13)	398	NM_003797	8726	Hs.503510	NM_003797	ENSG00000074266	EED	HEED|WAIT1	embryonic ectoderm development	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4912	chr6	27107330	27107443	+	38	NA	exon (NM_003495, exon 1 of 1)	TTS (NM_003495)	298	NM_003495	8294	Hs.248172	NM_003495		HIST1H4I	H4/m|H4FM|H4M	histone cluster 1, H4i	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4957a	chr6	30691888	30692086	+	38	NA	exon (NM_178014, exon 4 of 4).7	exon (NM_178014, exon 4 of 4).7	2661	NM_001293215	203068	Hs.636480	NM_178014	ENSG00000196230	TUBB	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	tubulin, beta class I	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1892	chr14	102483563	102483645	+	38	NA	exon (NM_001376, exon 39 of 78)	exon (NM_001376, exon 39 of 78)	52739	NM_001376	1778	Hs.614080	NM_001376	ENSG00000197102	DYNC1H1	CMT2O|DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22	dynein, cytoplasmic 1, heavy chain 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4284	chr4	41937407	41937515	+	38	NA	5' UTR (NM_018126, exon 1 of 7)	5' UTR (NM_018126, exon 1 of 7)	324	NM_018126	55161	Hs.31082	NM_018126	ENSG00000109133	TMEM33	1600019D15Rik|SHINC3	transmembrane protein 33	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2809	chr19	1241779	1241828	+	37	NA	5' UTR (NM_001687, exon 1 of 4)	promoter-TSS (NM_001687)	54	NM_001001975	513	Hs.418668	NM_001687	ENSG00000099624	ATP5D	-	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1357	chr12	52636863	52636918	+	37	NA	exon (NM_005556, exon 6 of 9)	exon (NM_005556, exon 6 of 9)	9936	NM_005556	3855	Hs.411501	NM_005556	ENSG00000135480	KRT7	CK7|K2C7|K7|SCL	keratin 7, type II	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5504	chr8	134309446	134309495	+	37	NA	5' UTR (NM_001258432, exon 1 of 14)	promoter-TSS (NM_001258432)	77	NM_001258432	10397	Hs.372914	NM_006096	ENSG00000104419	NDRG1	CAP43|CMT4D|DRG-1|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5	N-myc downstream regulated 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4312	chr5	32444742	32444817	+	37	NA	5' UTR (NM_016107, exon 1 of 20)	promoter-TSS (NM_016107)	65	NM_016107	51663	Hs.435231	NM_016107	ENSG00000056097	ZFR	SPG71|ZFR1	zinc finger RNA binding protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_566	chr1	228335213	228335262	+	37	NA	exon (NM_001242840, exon 5 of 7)	exon (NM_001242840, exon 5 of 7)	-2178	NM_020435	57165	Hs.100072	NM_020435	ENSG00000198835	GJC2	CX46.6|Cx47|GJA12|HLD2|LMPH1C|PMLDAR|SPG44	gap junction protein gamma 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_902	chr11	30344673	30344722	+	37	NA	5' UTR (NM_152316, exon 1 of 4)	promoter-TSS (NM_152316)	51	NM_152316	120534	Hs.502208	NM_152316	ENSG00000152219	ARL14EP	ARF7EP|C11orf46|dJ299F11.1	ADP-ribosylation factor like GTPase 14 effector protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5546	chr8	146016714	146016764	+	37	NA	exon (NM_033301, exon 4 of 6)	TTS (NR_106909)	637	NR_106909	102465978		NR_106909	ENSG00000274673	MIR6850	hsa-mir-6850	microRNA 6850	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4993	chr7	6063576	6063722	+	37	NA	3' UTR (NM_001134335, exon 15 of 15)	TTS (NM_006303)	-7358	NM_001271700	100310846	Hs.744468	NM_001271700	ENSG00000157999	ANKRD61	-	ankyrin repeat domain 61	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3854	chr22	30821747	30821807	+	37	NA	5' UTR (NM_016498, exon 1 of 4)	TTS (NM_001204204)	166	NM_016498	51537	Hs.713636	NM_016498	ENSG00000242114	MTFP1	HSPC242|MTP18	mitochondrial fission process 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_134	chr1	36762315	36762365	+	37	NA	exon (NM_005119, exon 9 of 12)	exon (NM_005119, exon 9 of 12)	-9654	NM_001162530	79729	Hs.524496	NM_024676	ENSG00000214193	SH3D21	C1orf113	SH3 domain containing 21	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2876	chr19	12045161	12045210	+	37	NA	intron (NM_144566, intron 1 of 3)	L1MC2|LINE|L1	9302	NM_001271848	90592	Hs.528486	NM_144566	ENSG00000196757	ZNF700	-	zinc finger protein 700	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2871	chr19	37042059	37042108	+	37	NA	intron (NM_020951, intron 4 of 4)	intron (NM_020951, intron 4 of 4)	-21889	NR_110704	101927599	Hs.515376	NR_110703	ENSG00000233527	ZNF529-AS1	-	ZNF529 antisense RNA 1	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2539	chr17	42264378	42264427	+	37	NA	5' UTR (NM_001076674, exon 1 of 4)	promoter-TSS (NM_001076674)	48	NM_001076674	79089	Hs.181391	NM_024107	ENSG00000168591	TMUB2	FP2653	transmembrane and ubiquitin-like domain containing 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_402	chr1	156109708	156109757	+	37	NA	3' UTR (NM_001282626, exon 12 of 12)	3' UTR (NM_001282626, exon 12 of 12)	-10003	NM_001193301	64218	Hs.408846	NM_022367	ENSG00000196189	SEMA4A	CORD10|RP35|SEMAB|SEMB	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_928	chr11	35747522	35747571	+	37	NA	exon (NM_017583, exon 3 of 5)	exon (NM_017583, exon 3 of 5)	63246	NM_017583	54765	Hs.192103	NM_017583		TRIM44	DIPB|HSA249128|MC7	tripartite motif containing 44	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1747	chr14	60619674	60619800	+	37	NA	exon (NM_016029, exon 4 of 7)	exon (NM_016029, exon 4 of 7)	12474	NM_016029	51635	Hs.59719	NM_016029	ENSG00000100612	DHRS7	CGI-86|SDR34C1|retDSR4|retSDR4	dehydrogenase/reductase (SDR family) member 7	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5165	chr6	160479946	160480017	+	37	NA	exon (NM_000876, exon 22 of 48)	exon (NM_000876, exon 22 of 48)	-34133	NR_003288	729603	Hs.674810	NR_003288	ENSG00000213073	LOC729603	-	calcineurin-like EF-hand protein 1 pseudogene	pseudo
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_174a	chr1	40562777	40562926	+	37	NA	exon (NM_001142604, exon 1 of 6)	exon (NM_001142604, exon 1 of 6)	291	NM_001142604	5538	Hs.3873	NM_000310	ENSG00000131238	PPT1	CLN1|INCL|PPT	palmitoyl-protein thioesterase 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4945	chr6	159240331	159240396	+	37	NA	5' UTR (NM_001111077, exon 1 of 14)	promoter-TSS (NM_001111077)	93	NM_001111077	7430	Hs.487027	NM_003379	ENSG00000092820	EZR	CVIL|CVL|HEL-S-105|VIL2	ezrin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2349	chr17	1747915	1747964	+	37	NA	exon (NM_002945, exon 4 of 17)	exon (NM_002945, exon 4 of 17)	14666	NM_002945	6117	Hs.461925	NM_002945	ENSG00000132383	RPA1	HSSB|MST075|REPA1|RF-A|RP-A|RPA70	replication protein A1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1833	chr14	70418892	70418967	+	37	NA	exon (NM_001034852, exon 2 of 12)	exon (NM_001034852, exon 2 of 12)	72815	NM_001034852	64093	Hs.497349	NM_022137	ENSG00000198732	SMOC1	OAS	SPARC related modular calcium binding 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_665	chr10	13359570	13359619	+	37	NA	3' UTR (NM_001195604, exon 8 of 8)	3' UTR (NM_001195604, exon 8 of 8)	-17464	NM_006214	5264	Hs.498732	NM_006214	ENSG00000107537	PHYH	LN1|LNAP1|PAHX|PHYH1|RD	phytanoyl-CoA 2-hydroxylase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5640a	chr9	34637619	34637782	+	37	NA	5' UTR (NM_147157, exon 1 of 3)	non-coding (NR_104108, exon 1 of 4)	123	NM_001282207	10280	Hs.522087	NM_005866	ENSG00000147955	SIGMAR1	ALS16|OPRS1|SIG-1R|SR-BP|SR-BP1|SRBP|hSigmaR1|sigma1R	sigma non-opioid intracellular receptor 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2511	chr17	40118819	40118868	+	37	NA	5' UTR (NM_033133, exon 1 of 4)	promoter-TSS (NM_033133)	84	NM_033133	1267	Hs.273621	NM_033133	ENSG00000173786	CNP	CNP1	2',3'-cyclic nucleotide 3' phosphodiesterase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_898	chr11	840380	840468	+	37	NA	exon (NM_021128, exon 2 of 2)	exon (NM_021128, exon 2 of 2)	2105	NM_021128	5441	Hs.441072	NM_021128	ENSG00000177700	POLR2L	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3810	chr3	53916089	53916138	+	37	NA	5' UTR (NM_022899, exon 1 of 13)	exon (NM_022899, exon 1 of 13)	116	NM_022899	93973	Hs.412186	NM_022899	ENSG00000113812	ACTR8	ARP8|INO80N|hArp8	ARP8 actin-related protein 8 homolog (yeast)	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3826	chr22	22661533	22661582	+	37	NA	non-coding (NR_027293, exon 5 of 11)	non-coding (NR_027293, exon 5 of 11)	9094	NR_027293	96610	Hs.449601	NM_080926	ENSG00000236850	BMS1P20	IGL|IGLV|IGLV1	BMS1 ribosome biogenesis factor pseudogene 20	pseudo
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1170	chr11	88042314	88042391	+	37	NA	exon (NM_001814, exon 4 of 7)	exon (NM_001814, exon 4 of 7)	28589	NM_001814	1075	Hs.128065	NM_001814	ENSG00000109861	CTSC	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	cathepsin C	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_931	chr11	10531662	10531755	+	37	NA	Intergenic	promoter-TSS (NM_001190702)	-985	NM_001190702	100463486	Hs.717003	NM_001190702	ENSG00000255823	MTRNR2L8	HN8	MT-RNR2-like 8	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3704	chr20	49177926	49177975	+	37	NA	exon (NM_002827, exon 2 of 10)	exon (NM_002827, exon 2 of 10)	-24373	NR_030375	693230		NR_030375	ENSG00000208018	MIR645	MIRN645|hsa-mir-645	microRNA 645	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3254	chr2	64068227	64068276	+	37	NA	5' UTR (NM_001001521, exon 1 of 10)	promoter-TSS (NM_006759)	153	NM_001001521	7360	Hs.516217	NM_006759	ENSG00000169764	UGP2	UDPG|UDPGP|UDPGP2|UGP1|UGPP1|UGPP2|pHC379	UDP-glucose pyrophosphorylase 2	protein-coding
